Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
1,200,87.27922061357857,0,0.9951
2,200,-50.55385138137417,0,0.9901
3,200,-29.862094406548792,0,0.9853
4,200,98.05526601292507,0,0.9804
5,49,122.36067977499789,1,0.9756
6,1,-10.0,1,0.9707
7,1,0.0,1,0.9659
8,1,-10.0,1,0.9612
9,1,0.0,1,0.9564
10,1,-10.0,1,0.9517
11,1,0.0,1,0.9470
12,1,-1.6227766016837952,1,0.9423
13,1,-9.608279654492812,1,0.9377
14,1,1.2310562561766059,1,0.9331
15,1,10.0,1,0.9285
16,1,-1.6227766016837952,1,0.9239
17,1,-9.608279654492812,1,0.9193
18,1,9.608279654492812,1,0.9148
19,1,1.6227766016837952,1,0.9103
20,1,0.0,1,0.9058
21,1,-10.0,1,0.9013
22,1,-1.2310562561766059,1,0.8969
23,1,-9.759138879751239,1,0.8925
24,1,-9.837430167054348,1,0.8881
25,1,9.837430167054348,1,0.8837
26,1,9.759138879751239,1,0.8793
27,1,-9.759138879751239,1,0.8750
28,1,0.9901951359278449,1,0.8707
29,1,10.0,1,0.8664
30,1,10.0,1,0.8621
31,1,0.0,1,0.8579
32,1,0.0,1,0.8536
33,1,-10.0,1,0.8494
34,1,-10.0,1,0.8452
35,1,10.0,1,0.8411
36,1,0.0,1,0.8369
37,1,-10.0,1,0.8328
38,1,-10.0,1,0.8287
39,1,10.0,1,0.8246
40,1,10.0,1,0.8205
41,1,0.0,1,0.8165
42,1,-10.0,1,0.8125
43,1,-10.0,1,0.8085
44,1,-10.0,1,0.8045
45,1,0.0,1,0.8005
46,1,10.0,1,0.7966
47,1,0.0,1,0.7927
48,1,-10.0,1,0.7888
49,1,10.0,1,0.7849
50,1,10.0,1,0.7810
51,1,0.0,1,0.7772
52,1,0.0,1,0.7733
53,1,-0.9901951359278449,1,0.7695
54,1,-9.837430167054348,1,0.7657
55,1,-2.417927900385397,1,0.7620
56,1,0.0,1,0.7582
57,1,2.417927900385397,1,0.7545
58,1,0.8276253029821934,1,0.7508
59,1,10.0,1,0.7471
60,1,-0.9901951359278449,1,0.7434
61,1,-9.837430167054348,1,0.7398
62,1,9.837430167054348,1,0.7361
63,1,9.759138879751239,1,0.7325
64,1,1.2310562561766059,1,0.7289
65,1,-10.0,1,0.7253
66,1,0.0,1,0.7217
67,1,-10.0,1,0.7182
68,1,0.0,1,0.7147
69,1,-0.8276253029821934,1,0.7111
70,1,0.8276253029821934,1,0.7076
71,1,-10.0,1,0.7042
72,1,-10.0,1,0.7007
73,1,-10.0,1,0.6973
74,1,0.0,1,0.6938
75,1,10.0,1,0.6904
76,1,0.0,1,0.6870
77,1,-10.0,1,0.6836
78,1,0.0,1,0.6803
79,1,0.0,1,0.6769
80,1,0.0,1,0.6736
81,1,0.0,1,0.6703
82,1,0.0,1,0.6670
83,1,0.0,1,0.6637
84,1,0.0,1,0.6605
85,1,0.0,1,0.6572
86,1,10.0,1,0.6540
87,1,-0.6225774829854913,1,0.6508
88,1,9.911899364330736,1,0.6476
89,1,0.710678118654755,1,0.6444
90,1,10.0,1,0.6413
91,1,10.0,1,0.6381
92,1,-0.9901951359278449,1,0.6350
93,1,-2.8614529354171925,1,0.6319
94,1,2.8614529354171925,1,0.6288
