Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
1,59,98.64999999999999,1,0.9951
2,186,95.75,1,0.9901
3,119,97.45,1,0.9853
4,50,98.64999999999999,1,0.9804
5,45,99.64999999999999,1,0.9756
6,27,100.14999999999999,1,0.9707
7,37,99.85,1,0.9659
8,54,99.25,1,0.9612
9,23,100.35,1,0.9564
10,42,98.95,1,0.9517
11,33,100.05,1,0.9470
12,46,98.35,1,0.9423
13,200,-4.399999999999999,0,0.9377
14,200,-5.65,0,0.9331
15,200,-5.35,0,0.9285
16,48,99.35,1,0.9239
17,85,96.64999999999999,1,0.9193
18,37,99.55,1,0.9148
19,37,99.14999999999999,1,0.9103
20,74,95.75,1,0.9058
21,36,100.25,1,0.9013
22,200,-4.6000000000000005,0,0.8969
23,157,96.75,1,0.8925
24,79,98.45,1,0.8881
25,94,97.94999999999999,1,0.8837
26,139,97.85,1,0.8793
27,200,-5.7,0,0.8750
28,111,97.25,1,0.8707
29,49,98.85,1,0.8664
30,56,99.14999999999999,1,0.8621
31,200,-4.699999999999999,0,0.8579
32,195,95.64999999999999,1,0.8536
33,50,98.45,1,0.8494
34,200,-7.250000000000001,0,0.8452
35,200,-7.700000000000001,0,0.8411
36,200,-7.500000000000001,0,0.8369
37,200,-7.700000000000001,0,0.8328
38,200,-7.500000000000001,0,0.8287
39,200,-7.850000000000001,0,0.8246
40,200,-7.700000000000002,0,0.8205
41,38,100.05,1,0.8165
42,32,100.25,1,0.8125
43,50,99.45,1,0.8085
44,36,99.64999999999999,1,0.8045
45,32,100.05,1,0.8005
46,32,99.64999999999999,1,0.7966
47,47,98.35,1,0.7927
48,200,-11.40000000000002,0,0.7888
49,200,-12.450000000000024,0,0.7849
50,200,-11.40000000000002,0,0.7810
51,200,-14.450000000000035,0,0.7772
52,50,99.35,1,0.7733
53,200,-13.65000000000003,0,0.7695
54,200,-8.000000000000002,0,0.7657
55,119,98.14999999999999,1,0.7620
56,200,-12.400000000000023,0,0.7582
57,200,-11.90000000000002,0,0.7545
58,46,99.25,1,0.7508
59,165,93.55,1,0.7471
60,200,-4.449999999999999,0,0.7434
61,200,-5.3,0,0.7398
62,200,-5.999999999999999,0,0.7361
63,200,-7.1000000000000005,0,0.7325
64,200,-14.150000000000032,0,0.7289
65,200,-7.200000000000002,0,0.7253
66,30,100.25,1,0.7217
67,200,-8.600000000000003,0,0.7182
68,120,92.25,1,0.7147
69,97,97.45,1,0.7111
70,128,95.75,1,0.7076
71,130,93.95,1,0.7042
72,200,-4.800000000000001,0,0.7007
73,44,100.05,1,0.6973
74,200,-4.200000000000001,0,0.6938
75,175,95.64999999999999,1,0.6904
76,200,-3.8999999999999986,0,0.6870
77,121,97.85,1,0.6836
78,200,-4.4,0,0.6803
79,180,96.45,1,0.6769
80,32,100.35,1,0.6736
81,37,100.35,1,0.6703
82,36,100.45,1,0.6670
83,30,100.45,1,0.6637
84,25,100.45,1,0.6605
85,29,100.45,1,0.6572
86,26,100.45,1,0.6540
87,30,100.45,1,0.6508
88,25,100.45,1,0.6476
89,30,100.25,1,0.6444
90,27,100.45,1,0.6413
91,48,100.45,1,0.6381
92,40,100.45,1,0.6350
93,27,100.45,1,0.6319
94,30,100.45,1,0.6288
95,25,100.45,1,0.6257
96,25,100.45,1,0.6226
97,28,100.45,1,0.6195
98,25,100.45,1,0.6165
99,28,100.45,1,0.6135
100,47,100.45,1,0.6105
101,39,100.45,1,0.6075
102,26,100.45,1,0.6045
103,26,100.45,1,0.6015
104,29,100.45,1,0.5986
105,25,100.45,1,0.5956
106,31,100.25,1,0.5927
107,200,-4.699999999999999,0,0.5898
108,200,-5.1,0,0.5869
109,200,-5.7,0,0.5840
110,59,99.05,1,0.5812
111,200,-5.3,0,0.5783
112,200,-5.9,0,0.5755
113,200,-5.5,0,0.5727
114,200,-5.900000000000002,0,0.5699
115,85,97.14999999999999,1,0.5671
116,33,100.45,1,0.5643
117,200,-5.8,0,0.5615
118,62,99.25,1,0.5588
119,200,-4.299999999999999,0,0.5560
120,105,98.35,1,0.5533
121,200,-6.800000000000001,0,0.5506
122,200,-4.1,0,0.5479
123,40,99.25,1,0.5452
124,40,99.75,1,0.5426
125,30,100.25,1,0.5399
126,47,99.25,1,0.5373
127,29,100.25,1,0.5346
128,70,99.05,1,0.5320
129,28,100.45,1,0.5294
130,200,-3.8999999999999986,0,0.5268
131,191,95.64999999999999,1,0.5242
132,200,-4.099999999999999,0,0.5217
