Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
1,62,990.6999999999999,1,0.9951
2,84,981.1999999999999,1,0.9901
3,200,-59.20000000000001,0,0.9853
4,153,964.6999999999999,1,0.9804
5,200,-56.649999999999984,0,0.9756
6,200,-60.20000000000001,0,0.9707
7,187,955.6999999999999,1,0.9659
8,200,-63.15,0,0.9612
9,200,-63.750000000000014,0,0.9564
10,200,-53.74999999999999,0,0.9517
11,200,-55.999999999999986,0,0.9470
12,140,966.1999999999999,1,0.9423
13,163,955.6999999999999,1,0.9377
14,200,-64.8,0,0.9331
15,181,951.1999999999999,1,0.9285
16,200,-60.69999999999998,0,0.9239
17,125,971.6999999999999,1,0.9193
18,200,-68.84999999999998,0,0.9148
19,200,-56.699999999999996,0,0.9103
20,200,-60.90000000000003,0,0.9058
21,136,966.6999999999999,1,0.9013
22,120,971.6999999999999,1,0.8969
23,116,976.1999999999999,1,0.8925
24,200,-63.250000000000014,0,0.8881
25,200,-65.49999999999999,0,0.8837
26,69,988.1999999999999,1,0.8793
27,200,-61.8,0,0.8750
28,200,-65.34999999999998,0,0.8707
29,200,-58.99999999999999,0,0.8664
30,111,973.1999999999999,1,0.8621
31,200,-62.4,0,0.8579
32,200,-60.35000000000001,0,0.8536
33,200,-61.5,0,0.8494
34,200,-64.0,0,0.8452
35,22,999.6999999999999,1,0.8411
36,200,-54.0,0,0.8369
37,200,-56.89999999999999,0,0.8328
38,200,-56.44999999999999,0,0.8287
39,200,-54.9,0,0.8246
40,52,991.1999999999999,1,0.8205
41,200,-61.949999999999996,0,0.8165
42,200,-62.35,0,0.8125
43,200,-65.85000000000001,0,0.8085
44,200,-60.9,0,0.8045
45,200,-60.949999999999996,0,0.8005
46,200,-56.39999999999999,0,0.7966
47,200,-54.90000000000001,0,0.7927
48,200,-63.499999999999986,0,0.7888
49,200,-52.49999999999999,0,0.7849
50,200,-62.0,0,0.7810
51,200,-51.350000000000016,0,0.7772
52,200,-50.5,0,0.7733
53,200,-52.699999999999996,0,0.7695
54,200,-58.900000000000006,0,0.7657
55,200,-50.95,0,0.7620
56,200,-58.85000000000001,0,0.7582
