Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
1,183,90.1,1,0.9951
2,200,-10.700000000000015,0,0.9901
3,200,-12.750000000000027,0,0.9853
4,200,-10.950000000000017,0,0.9804
5,200,-12.850000000000025,0,0.9756
6,200,-12.100000000000025,0,0.9707
7,200,-14.600000000000039,0,0.9659
8,200,-12.450000000000024,0,0.9612
9,200,-12.700000000000026,0,0.9564
10,200,-11.300000000000017,0,0.9517
11,200,-12.400000000000023,0,0.9470
12,200,-12.000000000000021,0,0.9423
13,200,-11.950000000000022,0,0.9377
14,200,-12.450000000000024,0,0.9331
15,200,-12.700000000000028,0,0.9285
16,200,-11.65000000000002,0,0.9239
17,200,-11.45000000000002,0,0.9193
18,200,-7.950000000000001,0,0.9148
19,200,-10.400000000000013,0,0.9103
20,200,-9.150000000000004,0,0.9058
21,200,-12.750000000000027,0,0.9013
22,200,-11.650000000000023,0,0.8969
23,200,-11.000000000000018,0,0.8925
24,200,-11.450000000000017,0,0.8881
25,200,-12.250000000000025,0,0.8837
26,99,97.89999999999999,1,0.8793
27,200,-10.650000000000013,0,0.8750
28,200,-9.250000000000009,0,0.8707
29,200,-15.30000000000004,0,0.8664
30,200,-14.650000000000038,0,0.8621
31,200,-9.950000000000012,0,0.8579
32,200,-10.350000000000012,0,0.8536
33,200,-7.450000000000002,0,0.8494
34,200,-6.850000000000001,0,0.8452
35,200,-6.300000000000001,0,0.8411
36,200,-9.650000000000011,0,0.8369
37,200,-7.250000000000001,0,0.8328
38,200,-10.200000000000015,0,0.8287
39,200,-10.400000000000015,0,0.8246
40,200,-9.55000000000001,0,0.8205
41,200,-11.40000000000002,0,0.8165
42,200,-9.80000000000001,0,0.8125
43,200,-8.950000000000008,0,0.8085
44,200,-9.850000000000012,0,0.8045
45,200,-11.150000000000016,0,0.8005
46,200,-10.450000000000015,0,0.7966
47,200,-8.950000000000005,0,0.7927
48,200,-11.950000000000019,0,0.7888
49,200,-7.550000000000005,0,0.7849
50,200,-10.800000000000017,0,0.7810
51,200,-11.650000000000016,0,0.7772
52,200,-11.550000000000017,0,0.7733
53,200,-10.450000000000012,0,0.7695
54,200,-10.000000000000012,0,0.7657
55,200,-11.750000000000021,0,0.7620
56,200,-9.100000000000014,0,0.7582
57,200,-11.650000000000022,0,0.7545
58,200,-11.100000000000017,0,0.7508
59,200,-12.700000000000026,0,0.7471
60,200,-12.30000000000002,0,0.7434
61,200,-12.850000000000028,0,0.7398
62,200,-12.450000000000026,0,0.7361
63,200,-10.950000000000017,0,0.7325
64,200,-10.85000000000002,0,0.7289
65,200,-11.400000000000018,0,0.7253
66,200,-12.600000000000025,0,0.7217
67,200,-12.650000000000023,0,0.7182
68,200,-11.550000000000017,0,0.7147
69,200,-11.650000000000018,0,0.7111
70,200,-13.100000000000026,0,0.7076
71,200,-11.400000000000018,0,0.7042
72,200,-13.20000000000003,0,0.7007
73,200,-10.300000000000015,0,0.6973
74,200,-10.800000000000017,0,0.6938
75,200,-12.800000000000027,0,0.6904
76,200,-13.150000000000025,0,0.6870
77,200,-13.90000000000003,0,0.6836
78,200,-12.650000000000022,0,0.6803
79,163,92.2,1,0.6769
80,200,-10.650000000000015,0,0.6736
81,200,-15.30000000000004,0,0.6703
82,200,-12.800000000000026,0,0.6670
83,200,-13.150000000000025,0,0.6637
84,200,-10.80000000000002,0,0.6605
85,200,-14.450000000000033,0,0.6572
86,200,-10.350000000000014,0,0.6540
87,200,-11.050000000000018,0,0.6508
88,200,-13.20000000000003,0,0.6476
89,200,-12.900000000000032,0,0.6444
90,200,-11.650000000000022,0,0.6413
91,200,-12.450000000000024,0,0.6381
92,200,-12.400000000000025,0,0.6350
93,200,-9.500000000000012,0,0.6319
94,200,-10.900000000000015,0,0.6288
95,200,-8.750000000000005,0,0.6257
96,200,-9.350000000000007,0,0.6226
97,200,-12.950000000000028,0,0.6195
98,200,-11.200000000000017,0,0.6165
99,200,-12.850000000000026,0,0.6135
100,200,-12.200000000000024,0,0.6105
101,200,-12.850000000000025,0,0.6075
102,200,-12.450000000000028,0,0.6045
103,200,-12.100000000000023,0,0.6015
104,200,-10.950000000000017,0,0.5986
105,200,-7.25,0,0.5956
106,200,-11.250000000000023,0,0.5927
107,200,-11.400000000000018,0,0.5898
108,200,-9.000000000000007,0,0.5869
109,200,-10.450000000000015,0,0.5840
110,200,-10.750000000000014,0,0.5812
111,149,93.69999999999999,1,0.5783
112,200,-9.250000000000009,0,0.5755
113,200,-11.800000000000022,0,0.5727
114,200,-11.050000000000017,0,0.5699
115,200,-7.15,0,0.5671
116,200,-7.65,0,0.5643
117,200,-8.950000000000006,0,0.5615
118,200,-9.700000000000012,0,0.5588
119,200,-14.500000000000034,0,0.5560
120,200,-11.300000000000018,0,0.5533
121,200,-11.300000000000018,0,0.5506
122,200,-11.25000000000002,0,0.5479
123,200,-12.150000000000025,0,0.5452
124,200,-8.550000000000004,0,0.5426
125,200,-6.15,0,0.5399
126,200,-7.750000000000001,0,0.5373
127,200,-8.550000000000004,0,0.5346
128,200,-7.150000000000001,0,0.5320
129,200,-8.650000000000006,0,0.5294
130,200,-13.000000000000023,0,0.5268
131,200,-12.100000000000023,0,0.5242
132,200,-11.700000000000019,0,0.5217
133,200,-11.100000000000014,0,0.5191
134,200,-9.10000000000001,0,0.5166
135,200,-12.750000000000025,0,0.5141
136,200,-12.700000000000026,0,0.5116
137,100,98.1,1,0.5090
138,119,97.5,1,0.5066
139,131,96.1,1,0.5041
140,200,-13.550000000000031,0,0.5016
141,200,-11.15000000000002,0,0.4992
142,200,-15.600000000000042,0,0.4967
143,200,-11.850000000000021,0,0.4943
144,200,-17.25000000000004,0,0.4919
145,200,-11.50000000000002,0,0.4895
146,200,-12.650000000000029,0,0.4871
147,200,-9.650000000000011,0,0.4847
148,200,-12.300000000000024,0,0.4823
149,200,-12.900000000000027,0,0.4800
150,200,-11.300000000000018,0,0.4776
151,200,-12.300000000000024,0,0.4753
152,200,-12.150000000000023,0,0.4730
153,200,-15.250000000000036,0,0.4707
154,200,-16.50000000000004,0,0.4684
155,200,-15.15000000000004,0,0.4661
156,200,-14.150000000000034,0,0.4638
157,200,-12.950000000000031,0,0.4616
158,200,-11.250000000000018,0,0.4593
159,200,-12.650000000000023,0,0.4571
160,200,-13.45000000000003,0,0.4548
161,200,-12.150000000000022,0,0.4526
162,200,-14.200000000000035,0,0.4504
163,200,-12.950000000000028,0,0.4482
164,200,-9.60000000000001,0,0.4460
165,200,-12.350000000000023,0,0.4439
166,200,-13.850000000000032,0,0.4417
167,200,-12.150000000000025,0,0.4395
168,200,-12.450000000000022,0,0.4374
169,200,-11.200000000000017,0,0.4353
170,200,-14.600000000000037,0,0.4331
171,200,-9.400000000000011,0,0.4310
172,200,-10.550000000000015,0,0.4289
173,200,-12.700000000000026,0,0.4268
174,200,-13.300000000000031,0,0.4248
175,200,-11.40000000000002,0,0.4227
176,200,-10.550000000000015,0,0.4206
177,200,-13.900000000000032,0,0.4186
178,200,-13.700000000000033,0,0.4165
179,200,-9.400000000000006,0,0.4145
180,200,-5.399999999999998,0,0.4125
181,200,-11.850000000000021,0,0.4105
182,200,-10.850000000000017,0,0.4085
183,200,-12.050000000000024,0,0.4065
184,200,-13.00000000000003,0,0.4045
185,200,-12.650000000000027,0,0.4026
186,200,-11.800000000000018,0,0.4006
187,200,-12.150000000000025,0,0.3987
188,200,-12.550000000000026,0,0.3967
189,200,-12.200000000000026,0,0.3948
190,200,-10.45000000000001,0,0.3929
191,131,96.5,1,0.3910
192,81,98.6,1,0.3891
193,173,95.39999999999999,1,0.3872
194,200,-11.000000000000014,0,0.3853
195,92,97.5,1,0.3834
196,168,94.0,1,0.3816
197,200,-14.900000000000036,0,0.3797
198,200,-15.100000000000037,0,0.3779
199,200,-15.150000000000038,0,0.3760
200,200,-14.250000000000034,0,0.3742
201,200,-14.300000000000036,0,0.3724
202,200,-14.500000000000034,0,0.3706
203,200,-16.500000000000043,0,0.3688
204,200,-17.20000000000004,0,0.3670
205,200,-16.600000000000044,0,0.3652
206,200,-16.65000000000004,0,0.3634
207,200,-17.05000000000004,0,0.3617
208,200,-14.500000000000036,0,0.3599
209,200,-16.150000000000045,0,0.3582
210,200,-13.550000000000031,0,0.3564
211,200,-10.500000000000014,0,0.3547
212,200,-15.90000000000005,0,0.3530
213,200,-11.55000000000002,0,0.3513
214,200,-10.300000000000013,0,0.3496
215,200,-12.55000000000003,0,0.3479
216,200,-8.650000000000006,0,0.3462
217,200,-7.650000000000001,0,0.3445
218,200,-9.050000000000006,0,0.3429
219,200,-10.850000000000016,0,0.3412
220,200,-11.150000000000022,0,0.3395
221,194,91.89999999999999,1,0.3379
222,200,-11.000000000000016,0,0.3363
223,200,-13.950000000000033,0,0.3346
224,200,-14.100000000000033,0,0.3330
225,200,-10.100000000000012,0,0.3314
226,200,-12.250000000000025,0,0.3298
227,200,-7.500000000000001,0,0.3282
228,200,-17.00000000000004,0,0.3266
229,200,-15.35000000000004,0,0.3250
230,200,-10.500000000000014,0,0.3235
231,200,-12.95000000000003,0,0.3219
232,200,-12.900000000000027,0,0.3204
233,200,-9.35000000000001,0,0.3188
234,200,-7.650000000000001,0,0.3173
235,200,-5.049999999999999,0,0.3157
236,200,-5.8999999999999995,0,0.3142
237,200,-7.450000000000001,0,0.3127
238,200,-7.15,0,0.3112
239,200,-9.950000000000008,0,0.3097
240,185,91.19999999999999,1,0.3082
241,200,-13.600000000000032,0,0.3067
242,200,-15.20000000000004,0,0.3052
243,200,-14.000000000000034,0,0.3037
244,200,-7.950000000000001,0,0.3023
245,200,-8.450000000000005,0,0.3008
246,200,-9.000000000000005,0,0.2994
247,200,-11.60000000000002,0,0.2979
248,200,-10.500000000000012,0,0.2965
249,200,-9.65000000000001,0,0.2951
250,126,97.7,1,0.2936
251,200,-9.05000000000001,0,0.2922
252,93,99.3,1,0.2908
253,200,-11.200000000000019,0,0.2894
254,200,-9.450000000000008,0,0.2880
255,200,-10.350000000000014,0,0.2866
256,200,-10.350000000000014,0,0.2853
257,200,-10.550000000000015,0,0.2839
258,200,-8.650000000000006,0,0.2825
259,83,100.1,1,0.2812
260,126,97.89999999999999,1,0.2798
261,124,98.5,1,0.2785
262,125,98.2,1,0.2771
263,184,88.09999999999998,1,0.2758
264,65,100.0,1,0.2745
265,59,100.7,1,0.2731
266,58,100.7,1,0.2718
267,58,100.7,1,0.2705
268,58,100.7,1,0.2692
269,59,100.7,1,0.2679
270,58,100.7,1,0.2666
271,58,100.7,1,0.2654
272,58,100.7,1,0.2641
273,58,100.7,1,0.2628
274,59,100.7,1,0.2616
275,69,100.2,1,0.2603
276,58,100.7,1,0.2591
277,58,100.7,1,0.2578
278,79,99.6,1,0.2566
279,58,100.7,1,0.2554
280,58,100.7,1,0.2541
281,58,100.7,1,0.2529
282,58,100.7,1,0.2517
283,58,100.7,1,0.2505
284,72,100.1,1,0.2493
285,68,100.1,1,0.2481
286,200,-13.40000000000003,0,0.2469
287,200,-9.250000000000007,0,0.2457
288,200,-10.150000000000013,0,0.2446
289,200,-10.300000000000013,0,0.2434
290,200,-12.050000000000024,0,0.2422
291,58,100.6,1,0.2411
292,64,100.2,1,0.2399
293,56,100.6,1,0.2388
294,81,98.8,1,0.2376
295,81,99.2,1,0.2365
296,56,100.6,1,0.2354
297,56,100.6,1,0.2342
298,56,100.6,1,0.2331
299,56,100.6,1,0.2320
300,63,100.0,1,0.2309
301,67,100.0,1,0.2298
302,56,100.6,1,0.2287
303,58,100.39999999999999,1,0.2276
304,56,100.6,1,0.2265
305,85,99.0,1,0.2254
306,56,100.6,1,0.2244
307,56,100.6,1,0.2233
308,56,100.6,1,0.2222
309,56,100.6,1,0.2212
310,56,100.6,1,0.2201
311,56,100.6,1,0.2191
312,87,99.1,1,0.2180
313,56,100.6,1,0.2170
314,56,100.6,1,0.2160
315,56,100.6,1,0.2149
316,56,100.6,1,0.2139
317,56,100.6,1,0.2129
318,56,100.6,1,0.2119
319,56,100.6,1,0.2109
320,56,100.6,1,0.2099
321,74,99.5,1,0.2089
322,56,100.6,1,0.2079
323,60,100.3,1,0.2069
324,56,100.6,1,0.2059
325,62,100.1,1,0.2049
326,56,100.6,1,0.2040
327,60,100.2,1,0.2030
328,71,99.3,1,0.2020
329,56,100.6,1,0.2011
330,56,100.6,1,0.2001
331,56,100.6,1,0.1992
332,56,100.6,1,0.1982
333,56,100.6,1,0.1973
334,60,100.3,1,0.1964
335,56,100.6,1,0.1954
336,56,100.6,1,0.1945
337,56,100.6,1,0.1936
338,56,100.6,1,0.1927
339,83,98.39999999999999,1,0.1918
340,56,100.6,1,0.1909
341,56,100.6,1,0.1900
342,64,100.1,1,0.1891
343,56,100.6,1,0.1882
344,56,100.6,1,0.1873
345,53,100.7,1,0.1864
346,54,100.7,1,0.1855
347,61,100.6,1,0.1846
348,56,100.5,1,0.1838
349,200,-12.450000000000026,0,0.1829
350,200,-14.200000000000038,0,0.1820
351,200,-17.10000000000003,0,0.1812
352,180,89.99999999999999,1,0.1803
353,58,100.7,1,0.1795
354,200,-18.500000000000032,0,0.1786
355,200,-12.500000000000025,0,0.1778
356,200,-11.500000000000021,0,0.1770
357,200,-17.300000000000036,0,0.1761
358,200,-17.000000000000036,0,0.1753
359,200,-15.500000000000036,0,0.1745
360,200,-16.30000000000004,0,0.1736
361,200,-14.550000000000036,0,0.1728
362,200,-14.450000000000037,0,0.1720
363,200,-13.100000000000028,0,0.1712
364,200,-14.200000000000035,0,0.1704
365,200,-10.00000000000001,0,0.1696
366,200,-8.700000000000005,0,0.1688
367,200,-10.900000000000016,0,0.1680
368,200,-12.200000000000024,0,0.1672
369,200,-13.800000000000033,0,0.1664
370,200,-13.550000000000031,0,0.1657
371,200,-12.550000000000022,0,0.1649
372,200,-13.600000000000032,0,0.1641
373,200,-14.200000000000035,0,0.1633
374,200,-11.650000000000022,0,0.1626
375,200,-12.250000000000027,0,0.1618
376,200,-12.850000000000026,0,0.1611
377,200,-10.200000000000014,0,0.1603
378,200,-12.450000000000024,0,0.1596
379,200,-16.05000000000004,0,0.1588
380,200,-10.400000000000013,0,0.1581
381,200,-13.250000000000034,0,0.1573
382,200,-14.00000000000003,0,0.1566
383,200,-14.150000000000034,0,0.1559
384,200,-12.700000000000026,0,0.1551
385,200,-13.150000000000029,0,0.1544
386,200,-14.800000000000038,0,0.1537
387,200,-13.750000000000032,0,0.1530
388,200,-13.85000000000003,0,0.1523
389,200,-12.450000000000026,0,0.1516
390,200,-13.800000000000031,0,0.1509
391,200,-11.80000000000002,0,0.1501
392,200,-11.300000000000018,0,0.1494
393,200,-11.950000000000022,0,0.1488
394,200,-12.100000000000025,0,0.1481
395,200,-10.300000000000018,0,0.1474
396,200,-13.600000000000033,0,0.1467
397,200,-12.550000000000022,0,0.1460
398,200,-11.350000000000016,0,0.1453
399,200,-12.000000000000025,0,0.1447
400,110,96.3,1,0.1440
401,200,-11.100000000000025,0,0.1433
402,163,95.0,1,0.1426
403,147,95.6,1,0.1420
404,58,100.39999999999999,1,0.1413
405,90,100.1,1,0.1407
406,200,-11.65000000000002,0,0.1400
407,200,-16.500000000000043,0,0.1394
408,200,-16.85000000000004,0,0.1387
409,200,-16.60000000000004,0,0.1381
410,200,-16.50000000000004,0,0.1374
411,200,-14.650000000000038,0,0.1368
412,200,-16.50000000000004,0,0.1362
413,200,-15.050000000000036,0,0.1356
414,200,-13.200000000000031,0,0.1349
415,200,-16.70000000000004,0,0.1343
416,200,-16.90000000000004,0,0.1337
417,200,-14.600000000000035,0,0.1331
418,200,-12.250000000000025,0,0.1325
419,200,-14.000000000000034,0,0.1318
420,200,-11.95000000000002,0,0.1312
421,200,-12.500000000000027,0,0.1306
422,200,-11.70000000000002,0,0.1300
423,200,-11.100000000000017,0,0.1294
424,200,-14.100000000000033,0,0.1288
425,200,-12.200000000000024,0,0.1282
426,200,-11.900000000000022,0,0.1276
427,200,-14.750000000000037,0,0.1271
428,200,-14.150000000000036,0,0.1265
429,200,-7.550000000000001,0,0.1259
430,200,-11.150000000000018,0,0.1253
431,200,-10.300000000000013,0,0.1247
432,200,-10.650000000000016,0,0.1242
433,200,-10.900000000000016,0,0.1236
434,200,-11.150000000000016,0,0.1230
435,200,-10.100000000000012,0,0.1225
436,200,-12.100000000000023,0,0.1219
437,200,-11.900000000000022,0,0.1214
438,200,-13.25000000000003,0,0.1208
439,200,-12.500000000000027,0,0.1202
440,200,-11.650000000000022,0,0.1197
441,200,-10.350000000000016,0,0.1191
442,200,-11.30000000000002,0,0.1186
443,200,-15.50000000000004,0,0.1181
444,200,-13.30000000000003,0,0.1175
445,200,-11.100000000000017,0,0.1170
446,200,-12.050000000000022,0,0.1165
447,200,-12.750000000000027,0,0.1159
448,200,-8.700000000000005,0,0.1154
449,200,-11.300000000000015,0,0.1149
450,200,-11.550000000000018,0,0.1143
451,200,-10.450000000000014,0,0.1138
452,200,-9.500000000000009,0,0.1133
453,200,-12.250000000000027,0,0.1128
454,200,-10.600000000000014,0,0.1123
455,200,-10.350000000000009,0,0.1118
456,200,-9.05000000000001,0,0.1113
457,200,-12.900000000000027,0,0.1108
458,200,-12.150000000000023,0,0.1103
459,200,-10.650000000000016,0,0.1098
460,200,-11.300000000000017,0,0.1093
461,200,-12.800000000000026,0,0.1088
462,200,-12.150000000000022,0,0.1083
463,200,-10.950000000000015,0,0.1078
464,200,-11.150000000000018,0,0.1073
465,200,-13.950000000000035,0,0.1068
466,200,-8.600000000000003,0,0.1063
467,200,-10.750000000000014,0,0.1058
468,200,-11.000000000000018,0,0.1054
469,200,-9.150000000000007,0,0.1049
470,200,-12.900000000000027,0,0.1044
471,200,-12.500000000000027,0,0.1039
472,200,-11.250000000000023,0,0.1035
473,200,-9.950000000000008,0,0.1030
474,200,-11.300000000000017,0,0.1025
475,200,-12.100000000000023,0,0.1021
476,200,-11.55000000000002,0,0.1016
477,200,-9.350000000000007,0,0.1012
478,200,-11.000000000000014,0,0.1007
479,200,-9.300000000000008,0,0.1003
480,200,-11.450000000000017,0,0.0998
481,200,-12.500000000000025,0,0.0994
482,200,-11.000000000000016,0,0.0989
483,200,-10.900000000000016,0,0.0985
484,200,-11.950000000000026,0,0.0980
485,200,-7.2,0,0.0976
486,200,-9.100000000000007,0,0.0972
487,200,-11.65000000000002,0,0.0967
488,200,-10.45000000000001,0,0.0963
489,200,-11.400000000000018,0,0.0959
490,200,-11.600000000000017,0,0.0954
491,200,-11.500000000000021,0,0.0950
492,200,-10.200000000000014,0,0.0946
493,200,-13.250000000000027,0,0.0942
494,200,-11.900000000000022,0,0.0937
495,200,-12.150000000000025,0,0.0933
496,200,-11.90000000000002,0,0.0929
497,90,99.39999999999999,1,0.0925
498,200,-12.250000000000025,0,0.0921
499,200,-13.25000000000003,0,0.0917
500,200,-11.150000000000022,0,0.0913
501,200,-12.000000000000025,0,0.0909
502,146,93.19999999999999,1,0.0905
503,200,-15.40000000000004,0,0.0901
504,200,-16.300000000000043,0,0.0897
505,200,-14.200000000000033,0,0.0893
506,200,-16.25000000000004,0,0.0889
507,200,-14.50000000000004,0,0.0885
508,200,-14.000000000000032,0,0.0881
509,200,-16.200000000000042,0,0.0877
510,200,-15.100000000000039,0,0.0873
511,200,-12.700000000000026,0,0.0869
512,200,-13.500000000000028,0,0.0865
513,200,-13.000000000000027,0,0.0861
514,98,98.6,1,0.0858
515,65,99.8,1,0.0854
516,51,100.5,1,0.0850
517,200,-10.900000000000015,0,0.0846
518,69,99.5,1,0.0843
519,200,-12.050000000000026,0,0.0839
520,113,96.19999999999999,1,0.0835
521,193,90.19999999999999,1,0.0832
522,48,100.6,1,0.0828
523,48,100.6,1,0.0824
524,48,100.6,1,0.0821
525,48,100.6,1,0.0817
526,48,100.6,1,0.0814
527,49,100.39999999999999,1,0.0810
528,50,100.5,1,0.0806
529,48,100.6,1,0.0803
530,48,100.6,1,0.0799
531,48,100.6,1,0.0796
532,53,100.2,1,0.0792
533,48,100.6,1,0.0789
534,48,100.6,1,0.0786
535,63,99.8,1,0.0782
536,47,100.6,1,0.0779
537,49,100.6,1,0.0775
538,49,100.5,1,0.0772
539,48,100.6,1,0.0769
540,48,100.6,1,0.0765
541,48,100.6,1,0.0762
542,52,100.39999999999999,1,0.0759
543,48,100.6,1,0.0755
544,48,100.6,1,0.0752
545,49,100.5,1,0.0749
546,48,100.6,1,0.0746
547,48,100.6,1,0.0742
548,54,100.1,1,0.0739
549,46,100.8,1,0.0736
550,48,100.6,1,0.0733
551,48,100.6,1,0.0730
552,48,100.6,1,0.0727
553,48,100.6,1,0.0723
554,48,100.6,1,0.0720
555,57,100.0,1,0.0717
556,47,100.7,1,0.0714
557,48,100.6,1,0.0711
558,48,100.6,1,0.0708
559,49,100.5,1,0.0705
560,48,100.6,1,0.0702
561,56,100.3,1,0.0699
562,66,99.0,1,0.0696
563,48,100.6,1,0.0693
564,48,100.6,1,0.0690
565,50,100.39999999999999,1,0.0687
566,48,100.6,1,0.0684
567,48,100.6,1,0.0681
568,48,100.6,1,0.0678
569,48,100.6,1,0.0676
570,48,100.6,1,0.0673
571,48,100.6,1,0.0670
572,48,100.6,1,0.0667
573,49,100.6,1,0.0664
574,47,100.7,1,0.0661
575,47,100.6,1,0.0659
576,49,100.6,1,0.0656
577,48,100.6,1,0.0653
